Rank,Player,Receptions,Targets,Receiving Yards,Yards Per Reception,Longest Reception,Receiving Touchdowns,Rush Attempts,Rushing Yards,Rushing Touchdowns,Fumbles Lost,Games Played,Total Fantasy Points,Fantasy Points Per Game,Roster Percentage
1,Travis Kelce (KC),105,145,"1,416",13.5,45,11,0,0,0,1,15,207.8,13.9,100.00%
2,Darren Waller (LV),107,145,"1,196",11.2,38,9,0,0,0,2,16,171.6,10.7,98.30%
3,Robert Tonyan (GB),52,59,586,11.3,45,11,0,0,0,0,16,124.6,7.8,20.30%
4,Mark Andrews (BAL),58,88,701,12.1,39,7,0,0,0,0,14,112.1,8,99.80%
5,T.J. Hockenson (DET),67,101,723,10.8,51,6,1,0,0,1,16,108.3,6.8,96.00%
6,Mike Gesicki (MIA),53,85,703,13.3,70,6,0,0,0,0,15,106.3,7.1,89.70%
7,Logan Thomas (WAS),72,110,670,9.3,30,6,3,5,0,0,16,104.6,6.5,61.80%
8,Rob Gronkowski (TB),45,77,623,13.8,48,7,0,0,0,0,16,104.3,6.5,95.60%
9,Jonnu Smith (NE),41,65,448,10.9,63,8,2,4,1,0,15,99.2,6.6,25.10%
10,Jimmy Graham (CHI),50,76,456,9.1,30,8,0,0,0,0,16,93.6,5.9,0.40%
11,Hayden Hurst (ATL),56,88,571,10.2,42,6,0,0,0,0,16,93.1,5.8,0.90%
12,Jared Cook (LAC),37,60,504,13.6,46,7,0,0,0,1,15,90.4,6,47.60%
13,Noah Fant (DEN),62,93,673,10.9,37,3,0,0,0,0,15,87.3,5.8,81.10%
14,Eric Ebron (PIT),56,91,558,10,27,5,0,0,0,1,15,85.8,5.7,3.70%
15,Hunter Henry (NE),60,93,613,10.2,33,4,0,0,0,0,14,85.3,6.1,63.10%
16,Tyler Higbee (LAR),44,60,521,11.8,44,5,1,1,0,0,15,84.2,5.6,76.90%
17,Dalton Schultz (DAL),63,89,615,9.8,28,4,0,0,0,1,16,83.5,5.2,85.80%
18,Evan Engram (NYG),63,109,654,10.4,53,1,6,26,1,1,16,78,4.9,29.40%
19,George Kittle (SF),48,63,634,13.2,44,2,2,17,0,0,8,77.1,9.6,99.00%
20,Dallas Goedert (PHI),46,65,524,11.4,41,3,0,0,0,0,11,70.4,6.4,84.00%
21,Irv Smith Jr. (MIN),30,43,365,12.2,36,5,0,0,0,0,13,68.5,5.3,7.30%
22,Austin Hooper (CLE),46,70,435,9.5,36,4,0,0,0,0,13,67.5,5.2,21.00%
23,Dan Arnold (JAC),31,45,438,14.1,59,4,0,0,0,1,16,65.8,4.1,15.20%
