Rank,Player,Receptions,Targets,Receiving Yards,Yards Per Reception,Longest Reception,Receiving Touchdowns,Rush Attempts,Rushing Yards,Rushing Touchdowns,Fumbles Lost,Games Played,Total Fantasy Points,Fantasy Points Per Game,Roster Percentage
1,Davante Adams (GB),115,149,"1,374",11.9,56,18,0,0,0,1,14,243.4,17.4,100.00%
2,Tyreek Hill (KC),87,135,"1,276",14.7,75,15,13,123,2,0,15,241.9,16.1,100.00%
3,Stefon Diggs (BUF),127,166,"1,535",12.1,55,8,1,1,0,0,16,201.6,12.6,100.00%
4,Calvin Ridley (ATL),90,143,"1,374",15.3,63,9,5,1,0,1,15,191.5,12.8,74.50%
5,D.K. Metcalf (SEA),83,129,"1,303",15.7,62,10,0,0,0,1,16,188.3,11.8,99.80%
6,Justin Jefferson (MIN),88,125,"1,400",15.9,71,7,1,2,0,0,16,186.2,11.6,99.90%
7,Adam Thielen (MIN),74,108,925,12.5,51,14,3,15,0,0,15,180,12,98.30%
8,Mike Evans (TB),70,109,"1,006",14.4,50,13,0,0,0,0,16,178.6,11.2,99.50%
9,A.J. Brown (TEN),70,106,"1,075",15.4,73,11,0,0,0,1,14,177.5,12.7,94.20%
10,DeAndre Hopkins (ARI),115,160,"1,407",12.2,60,6,1,1,0,2,16,172.8,10.8,99.30%
11,Tyler Lockett (SEA),100,132,"1,054",10.5,47,10,0,0,0,0,16,165.4,10.3,97.60%
12,Allen Robinson II (CHI),102,151,"1,250",12.3,42,6,1,-1,0,0,16,160.9,10.1,64.10%
13,Robert Woods (LAR),90,129,936,10.4,56,6,24,155,2,1,16,155.1,9.7,34.80%
14,Chase Claypool (PIT),62,109,873,14.1,84,9,10,16,2,1,16,152.9,9.6,88.70%
15,Marvin Jones Jr. (JAC),76,115,978,12.9,43,9,0,0,0,0,16,151.8,9.5,64.20%
16,Brandin Cooks (HOU),81,119,"1,150",14.2,57,6,0,0,0,0,15,151,10.1,93.20%
17,D.J. Moore (CAR),66,118,"1,193",18.1,74,4,2,22,0,0,15,145.5,9.7,96.90%
18,Keenan Allen (LAC),100,147,992,9.9,28,8,1,-1,0,2,14,145.1,10.4,99.20%
19,Amari Cooper (DAL),92,130,"1,114",12.1,69,5,6,14,0,0,16,144.8,9.1,97.10%
20,CeeDee Lamb (DAL),74,111,935,12.6,52,5,10,82,1,1,16,143.7,9,99.50%
21,Nelson Agholor (NE),48,82,896,18.7,85,8,0,0,0,0,16,137.6,8.6,17.10%
22,JuJu Smith-Schuster (PIT),97,128,831,8.6,31,9,0,0,0,1,16,137.1,8.6,19.50%
23,Terry McLaurin (WAS),87,134,"1,118",12.9,68,4,2,30,0,1,15,136.8,9.1,98.90%
24,Will Fuller V (MIA),53,75,879,16.6,77,8,1,0,0,0,11,135.9,12.4,26.60%
25,Curtis Samuel (WAS),77,97,851,11.1,44,3,41,200,2,0,15,135.1,9,19.10%
26,Diontae Johnson (PIT),88,144,923,10.5,47,7,3,15,0,1,15,133.8,8.9,97.80%
27,Robby Anderson (CAR),95,136,"1,096",11.5,75,3,4,15,0,1,16,129.2,8.1,43.20%
28,Tee Higgins (CIN),67,108,908,13.6,67,6,5,28,0,1,16,127.6,8,92.40%
29,Corey Davis (NYJ),65,92,984,15.1,75,5,0,0,0,1,14,126.4,9,60.70%
30,Chris Godwin (TB),65,84,840,12.9,47,7,0,0,0,0,12,126,10.5,98.90%
31,Cole Beasley (BUF),82,107,967,11.8,35,4,0,0,0,0,15,125.5,8.4,69.60%
32,Marquise Brown (BAL),58,100,769,13.3,70,8,1,1,0,0,16,125,7.8,94.30%
33,Brandon Aiyuk (SF),60,96,748,12.5,49,5,6,77,2,0,12,124.5,10.4,89.30%
34,Cooper Kupp (LAR),92,124,974,10.6,55,3,4,33,0,1,15,116.7,7.8,100.00%
35,Jarvis Landry (CLE),72,101,840,11.7,32,3,4,10,1,0,15,116,7.7,73.50%
36,Michael Gallup (DAL),59,105,843,14.3,55,5,0,0,0,0,16,114.3,7.1,72.90%
37,Tyler Boyd (CIN),79,110,841,10.6,72,4,5,49,0,0,15,113.6,7.6,65.20%
38,Jamison Crowder (NYJ),59,89,699,11.8,69,6,1,14,0,0,12,113,9.4,22.80%
39,Tim Patrick (DEN),51,79,742,14.5,61,6,0,0,0,0,15,110.2,7.3,23.30%
40,Russell Gage (ATL),72,109,786,10.9,35,4,2,9,0,0,16,109.1,6.8,28.80%
41,T.Y. Hilton (IND),56,93,762,13.6,50,5,0,0,0,0,15,108.2,7.2,25.30%
42,Mike Williams (LAC),48,85,756,15.8,64,5,1,1,0,0,15,105.7,7,94.60%
43,Jerry Jeudy (DEN),52,113,856,16.5,92,3,0,0,0,0,16,105.6,6.6,81.30%
44,Marquez Valdes-Scantling (GB),33,63,690,20.9,78,6,4,13,0,1,16,104.3,6.5,14.30%
45,Emmanuel Sanders (BUF),61,82,726,11.9,51,5,1,12,0,0,14,103.8,7.4,63.40%
46,DeVante Parker (MIA),63,103,793,12.6,31,4,0,0,0,0,14,103.3,7.4,49.60%
47,Gabriel Davis (BUF),35,62,599,17.1,56,7,1,0,0,0,16,101.9,6.4,2.30%
48,D.J. Chark Jr. (JAC),53,93,706,13.3,73,5,0,0,0,0,13,100.6,7.7,18.30%
49,Keelan Cole Sr. (NYJ),55,88,642,11.7,51,5,1,2,0,0,16,100.4,6.3,0.30%
50,Laviska Shenault Jr. (JAC),58,79,600,10.3,36,5,18,91,0,0,14,99.1,7.1,41.80%
51,Christian Kirk (ARI),48,79,621,12.9,80,6,2,3,0,0,14,98.4,7,65.50%
52,Sterling Shepard (NYG),66,90,656,9.9,29,3,6,49,1,0,12,96.5,8,37.00%
53,Julio Jones (TEN),51,68,771,15.1,44,3,0,0,0,0,9,95.1,10.6,63.30%
54,Zach Pascal (IND),44,71,629,14.3,42,5,0,0,0,0,16,92.9,5.8,5.10%
55,Darnell Mooney (CHI),61,98,631,10.3,53,4,4,20,0,0,16,91.1,5.7,78.90%
56,Darius Slayton (NYG),50,96,751,15,41,3,2,-1,0,1,16,91,5.7,5.20%
57,Mecole Hardman (KC),41,62,560,13.7,49,4,4,31,0,2,16,87.1,5.4,34.80%
58,Rashard Higgins (CLE),37,52,599,16.2,43,4,0,0,0,0,13,83.9,6.5,0.70%
59,David Moore (FA),35,47,417,11.9,57,6,8,61,0,0,16,83.8,5.2,0.00%
60,Jakobi Meyers (NE),59,81,729,12.4,35,0,2,9,0,1,14,83.6,6,70.10%
61,Kendrick Bourne (NE),49,74,667,13.6,49,2,0,0,0,0,15,80.7,5.4,36.30%
62,Greg Ward (PHI),53,79,419,7.9,32,6,2,-4,0,0,16,80.1,5,0.10%
63,Travis Fulgham (MIA),38,67,539,14.2,42,4,0,0,0,0,13,77.9,6,0.00%
64,Hunter Renfrow (LV),56,77,656,11.7,53,2,0,0,0,1,16,75.6,4.7,83.40%
65,Josh Reynolds (DET),52,81,618,11.9,40,2,1,5,0,1,16,72.3,4.5,3.20%
66,Antonio Brown (TB),45,62,483,10.7,46,4,2,-2,0,0,8,72.1,9,79.50%
67,Isaiah McKenzie (BUF),30,34,282,9.4,46,5,10,9,0,0,16,69.6,4.4,0.20%
68,Scotty Miller (TB),33,53,501,15.2,48,3,3,14,0,0,16,69.5,4.3,0.30%
69,James Washington (PIT),30,56,392,13.1,50,5,0,0,0,0,16,69.2,4.3,1.50%
70,Breshad Perriman (TB),30,60,505,16.8,53,3,1,6,0,0,12,69.1,5.8,0.80%
71,Jalen Guyton (LAC),28,55,511,18.3,72,3,2,0,0,0,16,69.1,4.3,0.20%
72,Tre'Quan Smith (NO),34,50,448,13.2,31,4,1,3,0,0,14,69.1,4.9,9.90%
73,Damiere Byrd (CHI),47,77,604,12.9,42,1,2,15,0,0,16,67.9,4.2,0.10%
74,Allen Lazard (GB),33,46,451,13.7,72,3,2,17,0,0,10,64.8,6.5,3.60%
75,A.J. Green (ARI),47,104,523,11.1,33,2,0,0,0,0,16,64.3,4,37.10%
76,Odell Beckham Jr. (LAR),23,43,319,13.9,43,3,3,72,1,0,7,63.8,9.1,89.30%
77,John Brown (FA),33,52,458,13.9,46,3,0,0,0,0,9,63.8,7.1,1.30%
78,Demarcus Robinson (KC),45,59,466,10.4,28,3,0,0,0,1,15,62.6,4.2,0.80%
79,Randall Cobb (GB),38,48,441,11.6,34,3,0,0,0,0,10,62.1,6.2,12.30%
80,Willie Snead IV (CAR),33,48,432,13.1,34,3,0,0,0,0,13,61.2,4.7,0.10%
81,Danny Amendola (HOU),46,69,602,13.1,50,0,1,2,0,0,14,60.4,4.3,0.20%
82,Braxton Berrios (NYJ),37,55,394,10.6,43,3,3,29,0,0,16,60.3,3.8,0.20%
83,KJ Hamler (DEN),30,56,381,12.7,49,3,9,40,0,0,13,60.1,4.6,0.80%
84,Anthony Miller (PIT),49,76,485,9.9,34,2,2,12,0,1,16,59.7,3.7,0.30%
